candidate_id,baseline_candidate_id,candidate_parent_id,lineage_status,target_dofs,decision,improved_targets,regressed_targets,unchanged_targets,reason
HEAVE_BQ2X_0705235850,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_HEAVE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_HEAVE,,regressed/mixed: FD_HEAVE
HEAVE_BQ05X_0705241450,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_HEAVE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_HEAVE,,regressed/mixed: FD_HEAVE
SWAY_CLN14K_0705243600,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
SURGE_AF0_N250K_IC2124_FULL_0705,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_AF0_N50K_FULL_0705,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_AF0_N50K_CLN10K_FULL_0706,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_AF0_N50K_CL2800_FULL_0706,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_AF0_N50K_CL5500_FULL_0706,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_AF0_N50K_UL1005_FULL_0706,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SURGE_AF0_N50K_UL10017_FULL_0706,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SURGE,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SURGE,,regressed/mixed: FD_SURGE
SWAY_AF0_N50K_FULL_0706,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
SWAY_AF0_N15K_FULL_0706,AMP_SH_HAF15_Y15052_R8715_07041136,AMP_SH_HAF15_Y15052_R8715_07041136,same_parent,FD_SWAY,HOLD_OBJECTIVE_NOT_IMPROVED,,FD_SWAY,,regressed/mixed: FD_SWAY
